District,Candidate,Party,Votes
Malavalli,G.MUNIRAJU,Karnataka Jantha Paksha,26397
Malavalli,DR.MURTHY.L.,Badavara Shramikara Raitara Congress Party,8018
Malavalli,B.SOMASHEKAR,Janata Dal  (United),3914
Malavalli,KRISHNAMURTHY.M,Bahujan Samaj Party,2628
Malavalli,S.SWAMY,Independent,2031
Malavalli,K.BASAVARAJU,Communist Party of India  (Marxist),1868
Malavalli,D.N.KUMARA SWAMY,Bharatiya Janata Party,1697
Malavalli,M.KRISHNAMURTHY,Independent,898
Malavalli,M.S.SHASHIKUMAR ,Independent,619
Malavalli,M.MAHESHA,Lok Jan Shakti Party,570
Malavalli,B.S.PUTTASWAMY,Ambedkar Janatha Party,385
Malavalli,H.NANJUNDAIAH,National People's Party,325
Malleshwaram,DR. ASHWATH NARAYAN C. N.,Bharatiya Janata Party,57609
Malleshwaram,B. K. SHIVARAM.,Indian National Congress,36543
Malleshwaram,DR. MEENAKSHI BHARATH,Lok Satta Party,7610
Malleshwaram,SHWETHA .S,Janata Dal  (Secular),2827
Malleshwaram,KUMAR .N.,Karnataka Jantha Paksha,1910
Malleshwaram,S.  SATHYAPRAKASH,Independent,319
Malleshwaram,ESHWARA. H. A,Bahujan Samaj Party,273
Malleshwaram,B. T. LALITHA NAIK,Welfare Party Of India,236
Malleshwaram,VISHWANAT BHAGAWAT,Independent,190
Malleshwaram,MANJUNATH. G (GOWDA),Badavara Shramikara Raitara Congress Party,183
Malleshwaram,M. S. PRAKASH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),153
Malleshwaram,B. LINGE GOWDA,Independent,125
Malleshwaram,H. GIRISH,Independent,95
Malleshwaram,N. S. SHIVANNA,Independent,93
Malleshwaram,RAJESH. P.,Independent,71
Malleshwaram,PRABHAKAR,Hindusthan Nirman Dal,62
Malur,K.S. MANJUNATHGOWDA,Janata Dal  (Secular),57645
Malur,KRISSHNAIAH SETTY ES.EN. MALURU,Independent,38876
Malur,CHANNA KESHAVA,Indian National Congress,20159
Malur,RAMEGOWDA .G.E,Independent,19480
Malur,S.R.KRISHNAIAH SHETTY,Independent,1283
Malur,KRISHNAIAH SHETTY. H.M.,Independent,898
Malur,RAVIKUMAR,Bahujan Samaj Party,838
Malur,MANJUNATH,Independent,803
Malur,MANJUNATHAGOWDA,Independent,774
Malur,K.R. RUDRAPPA,Independent,718
Malur,M.R.VIJAYKUMAR,Lok Jan Shakti Party,449
Malur,NARAYANASWAMY,Karnataka Jantha Paksha,354
Malur,B.V.NAGESH,Independent,332
Malur,K.JAYALAKSHAMI JAYARAM,Badavara Shramikara Raitara Congress Party,265
Malur,M.P.AMARESH,Samajwadi Janata Party(Karnataka),247
Mandya,M.H. AMBAREESH,Indian National Congress,90329
Mandya,M. SRINIVAS,Janata Dal  (Secular),47392
Mandya,T.L. RAVISHANKAR,Bharatiya Janata Party,3094
Mandya,MOHAMMAD TAHIR,SOCIAL DEMOCRATIC PARTY OF INDIA,3074
Mandya,SHIVAPRAKASH S.D.,Independent,2587
Mandya,D. VENKATESH ACHAR,Karnataka Jantha Paksha,1457
Mandya,H.N. HARISH,Independent,983
Mandya,M.R. MURALIDHARA,Independent,780
Mandya,ASHOK S.D. JAYARAM,Independent,524
Mandya,HALLEGERE SHIVARAMU,Independent,351
Mandya,N. MURALI,Independent,331
Mandya,BUS NANJUNDAIAH. N.,Independent,303
Mandya,M.P. MUNAVAR SHARIFF,Independent,279
Mandya,C.T. MANJUNATHA,Hindusthan Nirman Dal,251
Mandya,BASAVEGOWDA,Independent,250
Mandya,SAYEED ULLA SHARIFF,Badavara Shramikara Raitara Congress Party,223
Mandya,KABBANAHALLY PUTTASWAMY,Independent,217
Mandya,SANDESH M.R.,Samajwadi Janata Party (Rashtriya),211
Mandya,M.S. GOVARDHANA,Independent,182
Mangalore,U T KHADER,Indian National Congress,69450
Mangalore,CHANDRAHAS ULLAL,Bharatiya Janata Party,40339
Mangalore,MOHAMMED AKRAM HASAN,SOCIAL DEMOCRATIC PARTY OF INDIA,4808
Mangalore,K KRISHNAPPA SALIAN,Communist Party of India  (Marxist),3815
Mangalore,ABDUL AZIZ MALAR,Janata Dal  (Secular),2152
Mangalore,BAVA MOHAMMED,Independent,810
Mangalore,K RAVEENDRA SHETTY,Karnataka Jantha Paksha,729
Mangalore,MAHAMMED HANEEF,Independent,644
Mangalore,FAROOQ U.H,Independent,514
Mangalore,KABHEER ULLALA,Independent,402
Mangalore,ALFRED D'SOUZA,Independent,387
Mangalore,ABDUL RAHIMAN,Independent,263
Mangalore,T ISMAIL,Independent,248
Mangalore,IBRAHIM,Independent,200
Mangalore,HAMEED ULLAL,Janata Dal  (United),166
Mangalore City North,B.A.MOHIUDDIN BAVA,Indian National Congress,69897
Mangalore City North,KRISHNA.J.PALEMAR,Bharatiya Janata Party,64524
Mangalore City North,ABOOBAKKAR,SOCIAL DEMOCRATIC PARTY OF INDIA,3323
Mangalore City North,RAMACHANDRA BAIKAMPADY,Karnataka Jantha Paksha,2104
Mangalore City North,GULAM MOHAMMED,Janata Dal  (Secular),1808
Mangalore City North,H. VINAYA ACHARYA,Independent,1536
Mangalore City North,SUPREETH KUMAR POOJARY,Nationalist Congress Party,1136
Mangalore City North,MAXIM PINTO,Independent,878
Mangalore City North,MAHABALA SHETTY,Independent,647
Mangalore City South,J.R.LOBO,Indian National Congress,67829
Mangalore City South,N. YOGISH BHAT,Bharatiya Janata Party,55554
Mangalore City South,VASANTH  ACHARI,Communist Party of India  (Marxist),3016
Mangalore City South,JALEEL KRISHNAPURA,SOCIAL DEMOCRATIC PARTY OF INDIA,1672
Mangalore City South,S.P.CHANGAPPA,Janata Dal  (Secular),1672
Mangalore City South,DAYANANDA SHETTY,Karnataka Jantha Paksha,657
Mangalore City South,HABIB KHADER,Independent,401
Mangalore City South,DERICK PINTO,Pyramid Party of India,377
Mangalore City South,YOGISH SHETTY JEPPU,Independent,298
Mangalore City South,SACHIN HEGDE,Independent,283
Mangalore City South,YOGEESH NAIK,Independent,258
Mangalore City South,NOUSHAD MOHAMMED,Independent,202
Mangalore City South,HARISH  ALVA,Janata Dal  (United),96
Manvi,G.HAMPAYYA SAHUKAR BALLATAGI,Indian National Congress,50619
Manvi,RAJA VENKATAPPA NAYAK,Janata Dal  (Secular),43632
Manvi,GANGADHAR NAYAK,Karnataka Jantha Paksha,14465
Manvi,BASANAGOUDA,Badavara Shramikara Raitara Congress Party,4363
Manvi,AYYAMMA NAYAK,Bharatiya Janata Party,2935
Manvi,MARINAGAPPA  HARAVI,Independent,1940
Manvi,COM.V.MUDUKAPPA NAYAK NIRMANVI,Communist Party of India (Marxist-Leninist) Red Star,1294
Manvi,MALLAPPA BANGARI,Bahujan Samaj Party,991
Manvi,SUSHEELAMMA R MUDUKAPPA NAYAK,Janata Dal  (United),958
Manvi,M.NAGARAJ MEDAR,Independent,777
Maski,PRATAPGOWDA PATIL,Indian National Congress,45552
Maski,MAHADEVAPPA GOWDA,Karnataka Jantha Paksha,26405
Maski,SHEKHARAPPA TALWAR,Badavara Shramikara Raitara Congress Party,18197
Maski,SHANKARKUMARA MEDARA,Bharatiya Janata Party,4264
Maski,AMARESH,Janata Dal  (Secular),3488
Maski,R RANGAPPA NAYAKA,Independent,2877
Maski,AMRESH NAYAKA,Sarva Janata Party,2152
Maski,NAGARAJ MEDAR,Communist Party of India (Marxist-Leninist) Red Star,1107
Maski,TIRUPATI,Independent,1036
Maski,NAGARAJA CHIGARI,Bahujan Samaj Party,650
Mayakonda,K.SHIVAMURTHY,Indian National Congress,32435
Mayakonda,N.LINGANNA,Karnataka Jantha Paksha,31741
Mayakonda,ANANDAPPA.H.,Independent,18355
Mayakonda,BASAVARAJANAIK.M.,Bharatiya Janata Party,17658
Mayakonda,K.G.R.NAIK,Janata Dal  (Secular),11596
Mayakonda,DR.Y.RAMAPPA,Independent,9395
Mayakonda,N.SRINIVASA NAIK,Badavara Shramikara Raitara Congress Party,3333
Mayakonda,DR:B.CHANDRANAIK,Independent,2160
Mayakonda,KIRAN KUMAR,Janata Dal  (United),1023
Mayakonda,NAGARAJAPPA.M.,Independent,1007
Mayakonda,KRISHNAMURTHY.R.,Nationalist Congress Party,845
Mayakonda,P.SHANKARANAIK,Independent,766
Mayakonda,R.VASANTHA DAGINAKATTE,Bahujan Samaj Party,713
Mayakonda,A.K.MANJAPPA,Hindusthan Nirman Dal,700
Mayakonda,CHINNASAMUDRA SHEKARNAIK,Karnataka Rajya Ryota Sangha,524
Mayakonda,DR:K.S.SHANKARNAIK,Independent,511
Mayakonda,MALLIKARJUNA SWAMY.K.M.,Independent,497
Mayakonda,HANUMANTHAPPA NAVILEHAL,Kannada Chalavali Vatal Paksha,482
Mayakonda,JAYAPRAKASH.S.N.,Independent,455
Mayakonda,VENKATASWAMY.L,Samajwadi Party,430
Mayakonda,MANJUNATHA.B.,Independent,404
Melukote,K.S.PUTTANNAIAH,Sarvodaya Karnataka Paksha,80041
Melukote,C.S.PUTTARAJU,Janata Dal  (Secular),70193
Melukote,L.D.RAVI,Indian National Congress,2314
Melukote,PUTTANNAIAH S/O NANJAPPA ,Independent,1605
Melukote,S.VASANTHAKUMAR,Independent,1368
Melukote,MAHESHA M.M.,Bahujan Samaj Party,1362
Melukote,SUNDAHALLY SOMASHEKHARA,Hindusthan Nirman Dal,831
Melukote,G.M. RAVEENDRA,Bharatiya Janata Party,827
Melukote,ARUNAKUMAR,Independent,720
Melukote,PUTTANNAIAH S/O TIMMARAJAPPA,Independent,535
Melukote,UDHAYAKUMARA B.S.,Badavara Shramikara Raitara Congress Party,498
Melukote,R.MANJUNATHA,Independent,339
Melukote,S.ALBERT,Independent,259
Molakalmuru,S. THIPPESWAMY,Badavara Shramikara Raitara Congress Party,76827
Molakalmuru,N. Y. GOPALAKRISHNA,Indian National Congress,69658
Molakalmuru,DR.OBANNA POOJAR,Janata Dal  (Secular),4234
Molakalmuru,DASARI KIRTHI KUMAR,Bharatiya Janata Party,3227
Molakalmuru,DHRAKSHAYANAMMA,Karnataka Jantha Paksha,1832
Molakalmuru,SANNA MARANNA,Independent,1536
Molakalmuru,COMMRED PATEL G. PAPANAYAKA,Communist Party of India,1438
Molakalmuru,H. RAMANNA,Bahujan Samaj Party,950
Molakalmuru,N.R. MALLAIAH SWAMY,Independent,942
Molakalmuru,H. THIMMAIAH,Independent,899
Molakalmuru,D.T. SRINIVASA NAYAKA,Independent,797
Molakalmuru,G.S. BASANNA,Janata Dal  (United),557
Molakalmuru,S.CHANDRANNA,Independent,542
Molakalmuru,D. BORAYYA,Independent,496
Molakalmuru,D. DODDA BORAIAH,Independent,478
Moodabidri,K ABHAYACHANDRA,Indian National Congress,53180
Moodabidri,UMANATHA KOTIAN,Bharatiya Janata Party,48630
Moodabidri,K AMARANATHA SHETTY,Janata Dal  (Secular),20471
Moodabidri,B ISMAIL,SOCIAL DEMOCRATIC PARTY OF INDIA,3523
Moodabidri,ABHAYA KUMAR JAIN,Independent,1650
Moodabidri,MICHEL LOBO,Karnataka Jantha Paksha,1354
Muddebihal,APPAJI URF CHANNABASAVARAJ SHANKARAO NADAGOUD,Indian National Congress,34747
Muddebihal,VIMALABAI JAGADEVRAO DESHMUKH,Karnataka Jantha Paksha,22545
Muddebihal,SHANTHGOUDA SANGANAGOUDA PATIL (NADAHALLI),Independent,18859
Muddebihal,DESAI PRABHU URF PRABHUGOUDA CHANNANNA,Janata Dal  (Secular),12227
Muddebihal,MALAKENDRAGOUDA BASANAGOUDA PATIL,Bharatiya Janata Party,9761
Muddebihal,NINGAPPAGOUDA SIDDAPAGOUDA BAPPARAGI,Badavara Shramikara Raitara Congress Party,9136
Muddebihal,MAHIBOOB SHAMSUDDIN HALLI,Independent,2875
Muddebihal,HANAMANTHRAY NINGAPPA BIRADAR,Independent,1869
Muddebihal,SHIVASANGAPPA RAMAPPA KORI,Independent,941
Muddebihal,YALLAPPA MARIYAPPA HADIMANI,Independent,838
Muddebihal,RAVI GURULINGAPPA SAJJAN,Bahujan Samaj Party,541
Muddebihal,PARUSHURAM ISHWARAPPA MURAL,Independent,387
Mudhol,GOVIND.M.KARJOL,Bharatiya Janata Party,64727
Mudhol,TIMMAPUR.RAMAPPA. BALAPPA.,Indian National Congress,59549
Mudhol,NAYAK SHANKAR  NARAYAN,Janata Dal  (Secular),2303
Mudhol,KALE. SURESH. KALASAPPA,Independent,1610
Mudhol,ASHOK LIMBAVALI,Badavara Shramikara Raitara Congress Party,910
Mudigere,B.B. NINGAIAH,Janata Dal  (Secular),32417
Mudigere,B.N. CHANDRAPPA,Indian National Congress,31782
Mudigere,M.P. KUMARASWAMY,Bharatiya Janata Party,29309
Mudigere,SAATHI SUNDARESH,Communist Party of India,12721
Mudigere,U.B. MANJAIAH,Bahujan Samaj Party,1660
Mudigere,B.M. RAMESH BYRIGADDE,Independent,1062
Mudigere,COMRADE || KUMARA,Communist Party of India (Marxist-Leninist) Red Star,827
Mudigere,NANJUNDA,Independent,459
Mulbagal,G.MANJUNATHA,Independent,73146
Mulbagal,N. MUNIANJAPPA,Janata Dal  (Secular),39412
Mulbagal,AMARESH,Indian National Congress,11491
Mulbagal,M.N. AMBARISH,Communist Party of India,2450
Mulbagal,Y. SREENIVASAN PATAPAT,Bharatiya Janata Party,2376
Mulbagal,V.ADINARAYANA,Independent,1547
Mulbagal,D. VENKATARAVANAPPA,Independent,1289
Mulbagal,G. VENKATARAVANA,Independent,1019
Mulbagal,G. ALANGURU RAMANNA,Independent,1008
Mulbagal,V. NAGARAJ,Independent,774
Mulbagal,V. MARAPPA,Independent,707
Mulbagal,DODDACHOWDAPPA,Karnataka Jantha Paksha,550
Mulbagal,T.M. SHIVANNA,Independent,513
Mulbagal,V. SRINIVASA,Independent,442
Mulbagal,C.K. JAGADISH,Badavara Shramikara Raitara Congress Party,356
Mulbagal,P.CHANDRAPPA,Samajwadi Janata Party(Karnataka),286
Mulbagal,C. RAMAKRISHNAIAH,Republican Party of India (A),268
Mulbagal,CHALAPATHI,Independent,237
Mulbagal,T.V. BALAKRISHNA,Independent,225
Mulbagal,H.A. LAKSHMAIAH,Janata Dal  (United),207
Mulbagal,N. SRINIVAS,Independent,206
Mulbagal,RANJITH KUMAR. T.,Sarvodaya Karnataka Paksha,191
Nagamangala,N.CHALUVARAYASWAMY (SWAMY GOWDA),Janata Dal  (Secular),89203
Nagamangala,SURESH GOWDAA,Indian National Congress,68840
Nagamangala,MURALI (HOYSALA),Independent,1190
Nagamangala,DR.PARTHASARATHI.V.GOWDA,Bharatiya Janata Party,1085
Nagamangala,H.N.NARASIMHAMURTHY,Bahujan Samaj Party,1042
Nagamangala,T.KRISHNAPPA (K.K.),Karnataka Jantha Paksha,920
Nagamangala,N.K.KRISHNAPRASAD,Independent,347
Nagamangala,N.S.ASHOKA,Independent,252
Nagamangala,VARADARAJU (RAMESH TIBBANAHALLI),Badavara Shramikara Raitara Congress Party,215
Nagamangala,G.M.RAMESH,Janata Dal  (United),188
Nagamangala,H.K.KRISHNA,Independent,185
Nagamangala,C.P.LAVANYA,Akhila Bharatiya Rytha Party,157
Nagthan,RAJU ALAGUR,Indian National Congress,45570
Nagthan,DEVANAND PHULSING CHAVAN,Janata Dal  (Secular),44903
Nagthan,KATAKDHONDA VITTHAL DHONDIBA,Karnataka Jantha Paksha,24104
Nagthan,NAGENDRA DEVENDRAPPA MAYAVANSHI,Bharatiya Janata Party,15627
Nagthan,KATAKDHOND DEEPAK GANGARAM,Independent,1521
Nagthan,SANJEEV PUNDLIK MANE,Independent,1278
Nagthan,SUDHAKAR KANAMADI,Bahujan Samaj Party,1260
Nagthan,NIRMALA SHRINIVAS ARAKERI,Independent,1212
Nagthan,PARIMALA MAHADEV KAMBALE,Independent,1141
Nagthan,JAGANNATH RAMCHANDRA KODATE,Hindustan Janta Party,643
Nagthan,RAHUL TIPPANNA BHASKAR,Independent,628
Nagthan,TULSAPPA DASAR,Independent,527
Nagthan,BALAJI VADDAR (YATNAL),Janata Dal  (United),436
Nagthan,SHRIKANT DEVENDRAPPA ARAKERI,Independent,435
Nagthan,PREMANAND HUSANAPPA MASHYAL,Independent,379
Nagthan,MARAGANNA MALAPPA HUNNUR,Independent,360
Nanjangud,V.SRINIVASA PRASAD,Indian National Congress,50784
Nanjangud,KALALE  N .KESHAVAMURTHY,Janata Dal  (Secular),41843
Nanjangud,S.MAHADEVAIAH,Karnataka Jantha Paksha,28312
Nanjangud,DR. SHIVARAMA,Bharatiya Janata Party,7074
Nanjangud,M.SHIVARAM (MULLURU),Independent,2651
Nanjangud,SRIKANTA,Bahujan Samaj Party,2255
Nanjangud,GANGOTHRY RANGASWAMY,Samajwadi Janata Party(Karnataka),1667
Nanjangud,SHRUNGARA SARJA,Hindusthan Nirman Dal,1136
Nanjangud,N.RUKMINI,Independent,1128
Nanjangud,R.MADESHA,Badavara Shramikara Raitara Congress Party,886
Nanjangud,J.C.ITHIHAS,Independent,744
Nanjangud,K.S.SRINIVASAMURTHY,Communist Party of India (Marxist-Leninist) Red Star,707
Nanjangud,K.MAHADEVAIAH,Independent,682
Nanjangud,SUBBAIAH,Hindustan Janta Party,600
Nanjangud,SHIVANANDA. K.C.,Janata Dal  (United),540
Narasimharaja,TANVEER SAIT,Indian National Congress,38037
Narasimharaja,ABDUL MAJID K H,SOCIAL DEMOCRATIC PARTY OF INDIA,29667
Narasimharaja,S SATISH (SANDESH SWAMY),Janata Dal  (Secular),29180
Narasimharaja,B.P.MANJUNATH,Bharatiya Janata Party,12443
Narasimharaja,FARID N K,Karnataka Jantha Paksha,1750
Narasimharaja,R RAVINDRA KUMAR,All India Anna Dravida Munnetra Kazhagam,1001
Narasimharaja,IKRAM SIDDIQUI,Badavara Shramikara Raitara Congress Party,784
Narasimharaja,C SWAMY,Independent,593
Narasimharaja,ASLAM PASHA ALIAS CHANDINI MANGALAMUKHI,Bharatiya Dr. B.R.Ambedkar Janta Party,419
Narasimharaja,S SHANTHAPPA,Independent,353
Narasimharaja,AYUB KHAN,Janata Dal  (United),336
Narasimharaja,MOHAMMED THAHER ALI,Welfare Party Of India,323
Narasimharaja,J JAYARAJ,Independent,321
Narasimharaja,R SHIVAKUMAR,Independent,264
Narasimharaja,KHALEEL UR REHMAN SHARIF,Independent,179
Narasimharaja,AKHIL AHMED,Independent,114
Nargund,B R YAVAGAL,Indian National Congress,59620
Nargund,C C PATIL,Bharatiya Janata Party,51035
Nargund,S H SHIVANAGOUDAR,Badavara Shramikara Raitara Congress Party,6908
Nargund,V R RAMANANDA,Independent,3410
Nargund,PRAKASH NINGAPPA KARI,Janata Dal  (Secular),2976
Nargund,SURESH MAHARUDRAPPA MUNDARAGI,Independent,1449
Nargund,KUBERAGOUDA SHIVANAGOUDA PARWATGOUDRA,Karnataka Jantha Paksha,1054
Nargund,KADIYAVAR HEMANTHA MALLAPPA,Lok Jan Shakti Party,931
Nargund,SHAKUNTALA YAMANAPPA KONDABINGI,Independent,502
Nargund,PATIL KRISHNAGOUDA RANGANAGOUDA,Independent,418
Nargund,GURUSIDDAPPA HONAKERAPPA DESAI,Rani Chennamma Party,327
Navalgund,N.H.KONARADDI,Janata Dal  (Secular),44448
Navalgund,PATIL  MUNENAKOPPA SHANKAR,Bharatiya Janata Party,41779
Navalgund,GADDI KALLAPPA NAGAPPA,Indian National Congress,30780
Navalgund,SHIVANAND BASAPPA KARIGAR (MUDNUR),Independent,8901
Navalgund,DR: SHIRIYANNAVAR  ,Karnataka Jantha Paksha,4028
Navalgund,SUBHASHCHANDRAGOUDA BHIMANAGOUDA  PATIL (CHANDRAGOUDA),Independent,2356
Navalgund,SHAMBHULINGA C  SIDRAMASHETTAR,Badavara Shramikara Raitara Congress Party,1109
Navalgund,SAIDAPUR YELLAPPA DUNDUR  ,Bahujan Samaj Party,935
Navalgund,VIRUPAKSHAGOUDA SHIVANAGOUDA  KULKARNI,Independent,782
Navalgund,VINAYAKUMAR P MYAGERI,Independent,465
Navalgund,GURUSHANTHAPPA HANAMAPPA  CHALAWADI,Rani Chennamma Party,338
Navalgund,CHANDRASHEKAR DEMAPPA BUGATI,Lok Jan Shakti Party,317
Navalgund,R.D. RANGASWAMY,Independent,317
Navalgund,DOCTOR MOHAMMADUSMAN MOHMMADGOUS,Independent,285
Navalgund,BASAVENNEVVA YELLAPPA KADROLLI,Independent,275
Navalgund,METIGOUDRA  PRAKASHAGOUDA MALLANAGOUDA,Janata Dal  (United),232
Nelamangala,DR K SRINIVASAMURTHY,Janata Dal  (Secular),60492
Nelamangala,ANJANAMURTHY,Indian National Congress,45389
Nelamangala,M V NAGARAJU,Bharatiya Janata Party,19368
Nelamangala,CHELUVARAJU H P,Karnataka Jantha Paksha,9821
Nelamangala,DR C HANUMAIAH,Bahujan Samaj Party,857
Nelamangala,B V SATISHCHANDRA,Independent,646
Nelamangala,DR CHOWDAIAH,Independent,480
Nelamangala,B C RAMANNA,Independent,456
Nelamangala,ANJANAMURTHY,Independent,436
Nelamangala,SRINIVASA G M,Independent,319
Nelamangala,B RAMAIAH,Badavara Shramikara Raitara Congress Party,288
Nelamangala,GANGABYLAPPA,Bharatiya Dr. B.R.Ambedkar Janta Party,286
Nelamangala,PUJAPPA N G,Independent,252
Nelamangala,LEPAKSHA S,Janata Dal  (United),210
Nelamangala,THIRUMALAIAH,Independent,209
Nelamangala,G KUMARA,Independent,155
Nippani,JOLLE SHASHIKALA ANNASAHEB,Bharatiya Janata Party,81860
Nippani,KAKASO PANDURANG PATIL,Indian National Congress,63198
Nippani,SUJIT DINAKAR MHETRI,Bahujan Samaj Party,1771
Nippani,DR. CHANDRAKANT BASHETTI KURABETTI,Independent,1545
Nippani,RAMACHANDRA APPANNA PUJARI,Independent,1232
Nippani,BABASAHEB BALAGOUDA DESAI,Independent,894
Nippani,PATIL LAKHAMAGOUD  YALAGONDA,Janata Dal  (Secular),805
Nippani,PATHAN NIYAZ,Karnataka Jantha Paksha,691
Nippani,SUNDAR BABASAHEB PATIL,Badavara Shramikara Raitara Congress Party,258
Nippani,JITENDRA SUBHASH NERLE,Independent,192
Nippani,JAYAVANT  MIRAJAKAR,Independent,132
Nippani,JAY ALIAS JAYAVANT SATAPPA CHOUGULE,Independent,112
Padmanaba Nagar,R ASHOKA,Bharatiya Janata Party,53680
Padmanaba Nagar,L.S.CHETHAN GOWDA,Indian National Congress,33557
Padmanaba Nagar,DR.M.R.V.PRASAD,Janata Dal  (Secular),26272
Padmanaba Nagar,SYED ANSAR,Independent,3531
Padmanaba Nagar,S.N.SREERAMA,Karnataka Jantha Paksha,3089
Padmanaba Nagar,SANTOSH G,Janata Dal  (United),2880
Padmanaba Nagar,RAJKATTE MANJUNATH N,Independent,2386
Padmanaba Nagar,ABDUL RAZACK KHAN,Bahujan Samaj Party,1229
Padmanaba Nagar,SYED ZUBAIR,Independent,395
Padmanaba Nagar,H C KRISHNAMURTHY,Independent,335
Padmanaba Nagar,K.C.SRINIVASA,Independent,266
Padmanaba Nagar,T.S.SRIDHAR,Independent,223
Padmanaba Nagar,SUMITRA IYENGAR,Lok Satta Party,203
Padmanaba Nagar,S.LAKSHMI NARAYANA,Independent,168
Padmanaba Nagar,WG CDR G.B.ATHRI (RETD),Independent,139
Pavagada,K.M.THIMMARAYAPPA,Janata Dal  (Secular),68686
Pavagada,H.V.VENKATESH,Indian National Congress,63823
Pavagada,G.V.VIJAYARAJ,Bharatiya Janata Party,5327
Pavagada,UGRANARASIMHAPPA,Badavara Shramikara Raitara Congress Party,1260
Pavagada,SEVENAIK (SHIVA),Nationalist Congress Party,1236
Pavagada,PAVAGADA SRIRAM,Karnataka Jantha Paksha,1229
Pavagada,HANUMANTHARAYA.O,Independent,1072
Pavagada,NAGARATHNAMMA,Bahujan Samaj Party,1045
Pavagada,MRUTHYUNJAYA,Independent,501
Pavagada,K.VENKATESHA,Independent,431
Pavagada,K.GOPALA,Janata Dal  (United),272
Pavagada,MADLETAPPA,Independent,269
Pavagada,GANGADHAR,Independent,229
Pulakeshinagar,AKHANDA SRINIVAS MURTHY.R,Janata Dal  (Secular),48995
Pulakeshinagar,B.PRASANNA KUMAR,Indian National Congress,38796
Pulakeshinagar,A.HEMALATHA,SOCIAL DEMOCRATIC PARTY OF INDIA,5431
Pulakeshinagar,PALANI VELU  K,Bharatiya Janata Party,4589
Pulakeshinagar,M.MURTHY,Independent,684
Pulakeshinagar,SUSHEELA  DEVARAJ,Karnataka Jantha Paksha,511
Pulakeshinagar,ELUMALAI,Independent,333
Pulakeshinagar,BHAGYA.M,Republican Party of India (A),308
Pulakeshinagar,P.M.KRISHNA,Independent,242
Pulakeshinagar,M.RAJA,Ambedkar National Congress,167
Pulakeshinagar,SUNSTAR.D.JAIRAM,Independent,157
Pulakeshinagar,SUNIL KUMAR  MEGHANATH,National People's Party,152
Pulakeshinagar,C. ERUCHAPPAN,Independent,136
Puttur,SHAKUNTALA T SHETTY,Indian National Congress,66345
Puttur,SANJEEVA MATANDOOR,Bharatiya Janata Party,62056
Puttur,DINESH B N,Janata Dal  (Secular),6625
Puttur,ABUBAKKAR SIDDIK,SOCIAL DEMOCRATIC PARTY OF INDIA,4442
Puttur,SHEKAR MADAVU,Independent,1834
Puttur,JAYARAM BHAT A MADAVU,Karnataka Jantha Paksha,1506
Raichur,DR. SHIVARAJ PATIL S.,Janata Dal  (Secular),45263
Raichur,SYED YASIN,Indian National Congress,37392
Raichur,TRIVIKRAM JOSHI,Bharatiya Janata Party,6186
Raichur,POOJA GANDHI,Badavara Shramikara Raitara Congress Party,1815
Raichur,BASAVARAJ  KALASA,Karnataka Jantha Paksha,1365
Raichur,HARES SIDDIQ,Bahujan Samaj Party,1274
Raichur,BHEEMANA GOUDA,Independent,717
Raichur,APARNA. B.R.,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),559
Raichur,ZAFER MOHIUDDIN,Independent,553
Raichur,MOHD. SHAALAM HUSSAIN,Independent,510
Raichur,M.JAMEEL AHMED,Independent,494
Raichur,NOORJAHAN,Communist Party of India (Marxist-Leninist) Red Star,445
Raichur,NOOR MOHAMMAD,Janata Dal  (United),441
Raichur,JAYATEERTH,Independent,432
Raichur,CHAND PASHA,Independent,428
Raichur,M.CHAND ABDUL RUBB,Independent,311
Raichur,MEHRAJA BASHA,Independent,261
Raichur,K.B.RAGHAVENDRA,Pyramid Party of India,226
Raichur,RAMANNA R.H.J.,Lok Satta Party,226
Raichur,SYED MUJEEB,Welfare Party Of India,221
Raichur,V.H.MASTER,Independent,167
Raichur Rural,THIPPARAJU,Bharatiya Janata Party,50497
Raichur Rural,RAJA RAYAPPA NAIK,Indian National Congress,47227
Raichur Rural,RAJA AMARESHWARA NAIK,Janata Dal  (Secular),21584
Raichur Rural,R. MALLESH NAIK,Karnataka Jantha Paksha,5861
Raichur Rural,VIJAYALAKSHMI MADAPANURA,Bahujan Samaj Party,2568
Raichur Rural,CHINNAYYA NAIK,Independent,2529
Raichur Rural,ANJANAYYA,Independent,1258
Raichur Rural,LALAPPA NAIK,Communist Party of India (Marxist-Leninist) Red Star,889
Raichur Rural,SWAMY,National People's Party,854
Raichur Rural,KHASIM NAIK,Badavara Shramikara Raitara Congress Party,804
Raichur Rural,VEERANA GOUDA,Janata Dal  (United),668
Rajaji Nagar,S.SURESH KUMAR,Bharatiya Janata Party,39291
Rajaji Nagar,R.MANJULA NAIDU,Indian National Congress,24524
Rajaji Nagar,SHOBHA KARANDLAJE,Karnataka Jantha Paksha,20909
Rajaji Nagar,S.T ANAND,Janata Dal  (Secular),16794
Rajaji Nagar,MUNISWAMY.K,All India Anna Dravida Munnetra Kazhagam,1660
Rajaji Nagar,RUPA RANI,Lok Satta Party,880
